geonameid	name	asciiname	alternatenames	latitude	longitude	feature class	feature code	country code	cc2	admin1 code	admin2 code	admin3 code	admin4 code	population	elevation	gtopo30	timezone	modification date
4045589	Sandy Cove	Sandy Cove		51.56472	178.87556	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045590	Savage Island	Savage Island		52.80139	173.07556	T	ISL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045591	Semichi Islands	Semichi Islands		52.735	173.99111	T	ISL	US		AK	016			0		23	America/Adak	2010-01-30
4045592	Shemya Pass	Shemya Pass		52.725	173.95833	H	INLT	US		AK	016			0		-9999	America/Adak	2010-01-30
4045593	Sinbad Cove	Sinbad Cove		51.875	177.32778	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045594	Sniper Hill	Sniper Hill		52.08611	177.6625	T	MT	US		AK	016			0		131	America/Adak	2010-01-30
4045595	South-southeast Point	South-southeast Point		51.90417	179.67361	T	CAPE	US		AK	016			0		66	America/Adak	2010-01-30
4045596	Southeast Point	Southeast Point		52.33833	175.94472	T	CAPE	US		AK	016			0		1	America/Adak	2010-01-30
4045597	Spring Cove	Spring Cove		51.86111	177.27083	H	BAY	US		AK	016			0		46	America/Adak	2010-01-30
4045598	Stalemate Bank	Stalemate Bank		53	171	T	BAR	US		AK	016			0		-9999		2010-01-30
4045599	Sunik (historical)	Sunik (historical)		52.43333	173.6	P	PPLQ	US		AK	016			0		134	America/Adak	2011-12-12
4045600	Teal Creek	Teal Creek		51.46861	179.05583	H	STM	US		AK	016			0		29	America/Adak	2010-01-30
4045601	Thiel Pass	Thiel Pass		52.845	173.36444	T	GAP	US		AK	016			0		126	America/Adak	2010-01-30
4045602	Trout Lagoon	Trout Lagoon		51.97472	177.52417	H	LK	US		AK	016			0		25	America/Adak	2010-01-30
4045603	Vieth Ridge	Vieth Ridge		52.9625	173.0625	T	RDGE	US		AK	016			0		610	America/Adak	2010-01-30
4045604	West Beach	West Beach		52.92778	173.12778	T	BCH	US		AK	016			0		1	America/Adak	2010-01-30
4045605	West Peak	West Peak		52.92917	173.20667	T	MT	US		AK	016			0		-9999	America/Adak	2010-01-30
4045606	Whale Cove	Whale Cove		51.405	179.35556	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045607	Wrangell Cove	Wrangell Cove		52.91611	172.4875	H	BAY	US		AK	016			0		1	America/Nome	2010-01-30
4045608	X-Ray Ridge	X-Ray Ridge		52.1	177.6375	T	RDGE	US		AK	016			0		397	America/Adak	2010-01-30
4045609	X-Wave Creek	X-Wave Creek		52.10194	177.6625	H	STM	US		AK	016			0		1	America/Adak	2010-01-30
4045610	X Creek	X Creek		52.11806	177.65	H	STM	US		AK	016			0		-9999	America/Adak	2010-01-30
4045611	Williwaw Pass	Williwaw Pass		51.92778	177.34167	T	GAP	US		AK	016			0		174	America/Adak	2010-01-30
4045612	Weston Mountains	Weston Mountains		52.81944	173.12639	T	MTS	US		AK	016			0		246	America/Adak	2010-01-30
4045613	West Gland Lake	West Gland Lake		51.92222	177.45833	H	LK	US		AK	016			0		-9999	America/Adak	2010-01-30
4045614	West Arm Holtz Bay	West Arm Holtz Bay		52.93361	173.14861	H	BAY	US		AK	016			0		41	America/Nome	2010-01-30
4045615	Twin Rocks	Twin Rocks		51.92056	177.615	T	ISL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045616	Triton Valley	Triton Valley		52.47651	173.70758	T	VAL	US		AK	016			0		42	America/Adak	2010-01-30
4045617	Temnac River	Temnac River		52.83194	173.05556	H	STM	US		AK	016			0		1	America/Adak	2010-01-30
4045618	Tahoma Reef	Tahoma Reef		51.8	175.78333	T	BAR	US		AK	016			0		-9999		2010-01-30
4045619	Sub Point	Sub Point		51.95417	177.56056	T	CAPE	US		AK	016			0		57	America/Adak	2010-01-30
4045620	Sredni Point	Sredni Point		52.04417	177.63611	T	CAPE	US		AK	016			0		29	America/Adak	2010-01-30
4045621	Southwest Peak	Southwest Peak		52.91722	173.79861	T	MT	US		AK	016			0		-9999		2010-01-30
4045622	South-southwest Point	South-southwest Point		51.90972	178.4875	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045623	South Head	South Head		51.95111	-177.59222	T	CAPE	US		AK	016			0	0	-9999		2010-09-05
4045624	Skoot Cove	Skoot Cove		52.71917	174.07444	H	BAY	US		AK	016			0		17	America/Adak	2010-01-30
4045625	Signal Cove	Signal Cove		51.58694	178.75694	H	BAY	US		AK	016			0		17	America/Adak	2010-01-30
4045627	Sea Lion Pass	Sea Lion Pass		51.89444	177.91694	H	CHN	US		AK	016			0		-9999		2010-01-30
4045628	Sarana Brook	Sarana Brook		52.875	173.26389	H	STM	US		AK	016			0		1	America/Adak	2010-01-30
4045629	Salmon Lagoon	Salmon Lagoon		51.99694	177.55306	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045630	Round Lake	Round Lake		52.07833	177.6125	H	LK	US		AK	016			0		161	America/Adak	2010-01-30
4045631	Robert Ridge	Robert Ridge		52.02083	177.50972	T	RDGE	US		AK	016			0		91	America/Adak	2010-01-30
4045632	Rifle Range Point	Rifle Range Point		51.41583	179.19167	T	CAPE	US		AK	016			0		28	America/Adak	2010-01-30
4045633	Reveille Hill	Reveille Hill		52.0625	177.57917	T	MT	US		AK	016			0		7	America/Adak	2010-01-30
